repo_name,branch_name
verto-wallet-service,main
verto-frontend,main
verto-backend,main
verto-ledger-service,main
verto-api-webhooks,main
verto-company-service,main
verto-onboarding-service,main
verto-paybylink-api,main
verto-cards-api,main
verto-exchange-now-service,main
verto-payment-service,main
case-management-backend,main
verto-api-certification-service,main
verto-authorizer-v2,main
verto-authorizer-v3,main
verto-marketplace-service,main
verto-blotter-service,main
verto-cfsb,main
verto-cfsb-translator,main
verto-currency-service,main
verto-invoice-service,main
verto-reports,master
verto-otc-service,main
verto-subscription-service,main
verto-beneficiary-service,main
verto-files-service,main
verto-notification,main
verto-mongo-indexes,main
verto-referrals-service,main
verto-treasury-service,main
verto-socket-service,main
verto-pdf-generator,main
